"交互ID","版本","端","组件/位置","触发者","前置状态","API operationId","OpenAPI状态","成功状态","失败反馈","最低权限","需求ID","门禁ID","实现状态"
"INT-A-031","0.7","Dashboard","PLAYER_LIFETIME/管理计划","员工","具备计划管理权限且 step-up 满足策略","updatePolicySetting","OpenAPI v1.0 现行合同","创建净订单和/或净礼物长期比例的新配置版本","影响历史结算的修改被拒绝；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
"INT-A-032","0.7","Dashboard","收益事实/确认或标记发放","员工","收益状态允许迁移","updateCommission","现有","追加状态事件和审计","CONFLICT；不得删除或覆盖原收益","L3_OPERATIONS","REQ-P0-REFERRAL-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-033","0.7","Dashboard","收益事实/查看 Adjustment","员工","具备收益审计权限","getCommissionConfidential","OpenAPI v1.0 现行合同","返回非负 absolute amount、type、原因和关联退款/结案","L1/L2 不返回；404 不泄露对象","L3_OPERATIONS","REQ-P0-REFERRAL-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-034","0.7","Dashboard","高风险业务/提交升级处理","员工","操作人具备对应执行权限，但礼物、退款或订单决议超当前金额边界","approveGiftRequest;refundOrder;resolveOrder","现有","对应业务 API 根据服务端对象创建唯一待处理请求，并锁定对象版本、金额和预留状态","客户端不能自行创建或改写审批快照；L1 只通过客服任务提交建议；重复提交返回已有请求；对象变化后失效","L2_SUPERVISOR","REQ-P0-RBAC-01","—","计划开发"
"INT-A-035","0.7","Dashboard","审批详情/批准","员工","当前等级不低于 required_level、对象与预留版本未变","approveApprovalRequest","现有","允许同一人发起并幂等执行原动作，记录完整决定与审计","409 对象变化；428 step-up；权限不足则保持待处理","required_level（累积继承）","REQ-P0-RBAC-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-036","0.7","Dashboard","审批详情/拒绝","员工","达到 required_level 且原因完整","rejectApprovalRequest","现有","审批 REJECTED 并通知申请人；若业务要求则释放预留","PERMISSION_DENIED 或 CONFLICT","required_level","REQ-P0-RBAC-01","—","计划开发"
"INT-A-037","0.7","Dashboard","权限管理/更新 Role 映射","员工","近期 step-up 有效且映射合法","updateDiscordRoleMapping","现有","创建新映射版本并触发全量对账","VALIDATION_ERROR；CONFLICT；不直接越级授权 L3/L4","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-A-038","0.7","Dashboard","权限管理/确认 L3 或 L4 升级","员工","ROLE_ELEVATION_PENDING 且操作者不是升权目标账号","approveStaffRoleElevation","现有","更新内部有效级别、permissionsVersion 并撤销旧会话","目标账号确认自身升权会被拒绝；Role 已移除时返回 CONFLICT","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-A-039","0.7","Dashboard","权限管理/人工降权或撤权","员工","目标不是唯一 bootstrap 管理员且原因完整","updateStaffRole","现有","降低内部级别并立即撤销权限","禁止绕过 Role 首次升级规则；CONFLICT 刷新","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-A-040","0.7","Dashboard","权限管理/撤销会话","员工","目标 staff_account 存在","revokeStaffSessions","现有","全部后台会话立即失效","重复执行返回已撤销状态","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-A-041","0.7","Dashboard","周期结算/预览与生成","员工","具备 settlement.manage 且周期、截止时间和币种完整","previewSettlementBatch;createSettlementBatch","现有","显示服务端计算的批次预览或生成 DRAFT 批次；金额不由客户端汇总","VALIDATION_ERROR 就地保留输入；失败显示 request_id","L3_OPERATIONS","M6-SPEC-§4;REQ-P0-AUDIT-01","—","已实现"
"INT-A-042","0.7","Dashboard","周期结算/复核、导出、登记结果与作废","员工","批次状态允许且权限、step-up、版本满足合同","submitSettlementBatch;approveSettlementBatch;exportSettlementBatch;recordSettlementPaymentResults;voidSettlementBatch","现有","按服务端能力显示动作；支付失败项可重试，导出只读，作废追加审计","403/409/428 或部分失败显示 request_id，不覆盖原支付事实","L2_SUPERVISOR（读取）；L3/L4（操作）","M6-SPEC-§4;REQ-P0-AUDIT-01","—","已实现"
"INT-A-043","0.7","Dashboard","周期周报/浏览与导出","员工","具备 weekly_report.read 且在可信 Guild scope","listAdminWeeklyReports;exportAdminWeeklyReport","现有","分页展示当前周报修订并下载服务端 CSV","空列表显示空态；403/错误不泄露跨 Guild 报告并显示 request_id","L2_SUPERVISOR","M6-SPEC-§5;REQ-P0-PRIVACY-01","—","已实现"
"INT-A-044","0.8","Dashboard","客户 Profile/统计与余额模块","员工","具备 customer_profile.read 且目标满足同一 customer scope predicate","getAdminCustomerProfileSummary","M7 合同","30/90/全部窗口显示订单、退款、消费均额及内部 CAT 账本余额；available 不得为负数","余额模块失败独立显示 error/request_id，其他模块继续可用","L1_SUPPORT（已分配对象）；L2_SUPERVISOR（组织范围）","M7-SPEC-§10;REQ-P0-PRIVACY-01","—","计划开发"
"INT-A-045","0.7","Dashboard","客户 Profile/订单与资金分页","员工","摘要、订单、资金入口使用同一对象 scope predicate","listAdminCustomerOrders;listAdminUserConsumptions","现有","订单与资金独立分页；只显示白名单字段和 L2 脱敏内部备注","未分配对象统一不可用；单模块失败显示 request_id；不返回推荐、受益人、比例、佣金、利润或陪玩收益","L1_SUPPORT（已分配对象）；L2_SUPERVISOR（组织范围）","M6-SPEC-§6;REQ-P0-PRIVACY-01","—","已实现"
"INT-D-047","0.8","Discord","我的服务中心/个人中心","用户","可信 DISCORD_BOT Actor 且 Guild 一致","getCurrentUserProfileSummary","M7 合同","ephemeral 展示内部 CAT 余额、预留、可用、进行中订单、累计订单/礼物消费和 calculatedAt；目标用户仅由 Actor 解析","跨人统一 404；失败显示 unavailable 与 request_id；不返回内部备注、风险、利润、陪玩收益或返佣事实","当前用户","M7-SPEC-§10;REQ-P0-PRIVACY-01","GATE-P0-02","计划开发"
"INT-D-048","0.7","Discord","个人中心/我的订单与消费分页","用户","个人中心已打开","listCurrentUserOrders;listCurrentUserConsumptions","现有","API 签发资源绑定的紧凑 HMAC cursor，Bot 原样放入 ≤100 custom ID；多实例/重启可验签，ephemeral 分页且不在 Bot 汇总金额","cursor 缺失、跨资源或篡改返回 400/request_id；消费仅可信 Actor Guild；不接受 target userId","当前用户","M6-SPEC-§6.2;REQ-P0-AUDIT-01","—","已实现"
"INT-D-049","0.8","Discord","个人中心/联系客服充值与刷新余额","用户","个人中心已打开","getCurrentUserProfileSummary","M7 合同","展示受控客服入口；客服核对收据并在 Dashboard 充值后，刷新重新调用统一 API","客服入口本身不代表到账；余额查询失败显示 request_id；不创建长期个人频道","当前用户","M7-SPEC-§7;§10;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-A-051","0.8","Dashboard","客户钱包/人工充值","员工","客户钱包有效且充值必填字段完整","createAdminTopUp","M7 合同","显示确认预览；成功后 TopUp 与贷记流水立即到账；附件可选","字段错误就地保留；L1 超过 500000 返回权限拒绝；重复渠道交易号拒绝并显示 request_id","L1_SUPPORT（≤500000）；L2_SUPERVISOR（>500000）","M7-SPEC-§5-7;REQ-P0-AUDIT-01","GATE-P0-02","计划开发"
"INT-A-052","0.8","Dashboard","客户钱包/渠道退款扣款","员工","外部渠道退款已完成且必填字段完整","createAdminExternalRefundDebit","M7 合同","预览 availableMinor；成功后追加渠道退款证据和借记流水","amountMinor 大于 availableMinor 时原子拒绝；不允许负余额；错误附 request_id","L2_SUPERVISOR","M7-SPEC-§5;§8-9;REQ-P0-AUDIT-01","GATE-P0-02","计划开发"
"INT-A-053","0.8","Dashboard","客户钱包/凭证与流水","员工","具备 wallet.read 且客户在 scope 内","listAdminWalletEntries;createReceiptAttachment;getReceiptAttachmentContent","M7 合同","分页显示只追加流水；可选上传图片/PDF；下载要求授权","不支持类型、超限、哈希不符或越权时拒绝并审计写尝试","L1_SUPPORT","M7-SPEC-§6-7;§9","—","计划开发"
"INT-D-050","0.7","Discord","陪玩工作台/我的周报列表与详情","陪玩","可信 Actor 可解析当前 PlayerProfile","listCurrentPlayerWeeklyReports;getCurrentPlayerWeeklyReport","现有","ephemeral 分页展示本人周报专用白名单 DTO；待确认、可结算、已入批次分开显示","跨人报告与不存在报告统一 404；不返回 Guild/player/schedule、修订员工/原因、源事实订单 ID 或内部 issues；错误显示 request_id","当前陪玩","M6-SPEC-§5;REQ-P0-PRIVACY-01","—","已实现"
"INT-D-051","0.7","Dashboard","陪玩列表/设置项目分成","L3/L4","陪玩与服务项目存在","listPlayerCompensation;upsertPlayerCompensationBatch","M9-US-10","以始终可见的项目列表同时展示每个项目的个人分成与项目默认分成；输入即时缓存为窗口草稿，点击提交后弹出汇总所有已改项目、原分成、新分成与修改方式的确认窗口，二次确认后原子批量保存","取消确认或关闭窗口不写入；任一版本冲突或校验失败时整批不写入；金额超过客户单价拒绝；不追溯历史订单","运营","EAR-01;CAT-03","AT-COMP-001;AT-COMP-002","开发中"
"INT-D-052","0.7","Dashboard","服务目录与礼物目录/删除","L3/L4","目录项目存在且未归档","updateServiceCatalogVersion;updateGiftCatalogItem","M9-US-11","操作列显示删除按钮；确认面板说明仅归档且要求原因码；成功后项目从列表移除","版本冲突提示刷新；历史引用不阻止归档且不被改写；无物理删除","运营","CAT-03;AUD-02","AT-ARC-001;AT-ARC-002","开发中"
"INT-S-001","2.0","Bot/Worker 内部","Discord Role 可靠同步","Sapphire Listener / 周期 Worker","guildMemberUpdate、启动或默认 5 分钟周期触发","queueDiscordRoleSync;syncDiscordRoles","现有","观测持久化入队并最多尝试 8 次；L1/L2 自动同步；L3/L4 生成待确认升级；降级立即撤权","服务鉴权或 Discord 失败保留队列错误并继续重试；不采信前端自报 Role","Bot 服务身份","REQ-P0-RBAC-01","AT-ROL-001;AT-ROL-004","已实现"
"INT-D-054","0.9","Discord","客户钱包与消费 CAT 展示","用户","可信 DISCORD_BOT Actor 且资金响应 currency=CAT","getMyServiceCenter;getCurrentUserProfileSummary;listCurrentUserConsumptions","M9 现行合同","钱包、订单、礼物、消费、取消和退款金额按 10 subunits = 1 CAT 固定显示猫条/CAT，不读取展示配置","旧钱包名称、符号或比例配置在 Bot 登录前失败；充值付款回执之外不显示 USD/$ 或并排换算","当前用户","M9-SPEC-§3;REQ-P0-FUNDS-01","GATE-P0-02","已实现"
"INT-A-054","0.9","Dashboard","员工内部资金使用 CAT","员工/陪玩","具备原操作权限或当前 Player Actor","createAdminTopUp;createAdminExternalRefundDebit;listCurrentPlayerWeeklyReports","M9 现行合同","Dashboard 钱包、目录、审批、陪玩收益、返佣、周报和结算应付均显示 CAT；充值表单单独录入 USD cents receipt，结算可同时显示线下实际支付 USD 辅助值","除充值付款证据和结算线下支付辅助外，不显示 USD/$ 或可配置代币","既有权限矩阵","M9-SPEC-§3;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-A-055","1.0","Dashboard","业务标签库/创建与停用","L3/L4 员工","具备 catalog.manage；无需近期 step-up","listBusinessTags;createBusinessTag;updateBusinessTag","M9-US-08","按类型管理稳定代码、展示名和启用状态；停用保留历史引用","重复代码、代码修改、硬删除、错误类型或陈旧版本返回验证/冲突错误","L3_OPERATIONS","TAG-01","—","开发中"
"INT-A-056","1.0","Dashboard","服务目录与陪玩审批/受控标签选择","员工","标签库已载入且具备原业务操作权限；服务目录维护无需近期 step-up","createServiceCatalogVersion;updateServiceCatalogVersion;approvePlayer;updatePlayerOperationalTags","M9-US-08","游戏、服务和语言使用复选多选；已批准陪玩可回显并编辑支持范围；现有服务项目编辑时回填当前值并创建替代版本","标签停用、类型错误或版本陈旧时 API 拒绝；不退回自由文本或原地改写历史版本","既有权限矩阵","TAG-01;ONB-02","—","开发中"
"INT-A-057","1.0","Dashboard","礼物目录/选择分类与编辑","员工","GIFTS 已启用且具备 gift_catalog.manage；无需近期 step-up","createGiftCatalogItem;updateGiftCatalogItem","M9-US-08","从已启用礼物分类中选择稳定 ID；现有礼物编辑时回填名称、分类、价格、模板和状态并创建替代版本","分类停用、类型错误或版本陈旧时拒绝；历史礼物仍可读取且不被原地改写","L3_OPERATIONS","TAG-01","—","开发中"
"INT-A-058","1.1","Discord","玩家入口/开始找陪玩","客户","已配置玩家入口频道和私密订单分类；允许新订单","createOrder;recoverOrderChannel","M9-US-09","常驻消息显示开始找陪玩；点击后创建仅客户、Bot、客服可见的订单频道和订单面板；客户明确无管理频道权限，客服可管理","已有活跃订单且频道存在时回到原频道；频道已删除时原子回写新频道与面板并恢复订单；API 失败时清理临时频道并返回 request_id","已注册玩家","ONB-01;ORD-03","—","开发中"
"INT-D-059","1.5","Discord","选秀开始/语音与客服通知","客户;报名陪玩;客服","候选池 SELECTION；已配置私密订单分类、客服任务频道及客服 Role 映射","closeOrderSelectionPool","M11-US-01","Worker 创建或恢复 user_limit=0 的选秀语音房；客户、全部报名者及 L1-L4 Role 可进入；终选后创建 Service 房，先移动客户再移动入选陪玩；客服协调卡同时提供两个入口","Discord 或数据库失败由 Outbox 重试；以候选池和稳定 nonce 防止重复房间及通知；终选后撤销未入选权限，旧选秀房清空后自动删除","客户;报名陪玩;L1_SUPPORT-L4_ADMIN_OWNER","ORD-03;AUD-02;SEL-02","AT-SEL-003;AT-SEL-006","计划开发"
"INT-A-060","1.1","Dashboard","订单详情/逐陪玩项目与价格","L1-L4 员工","L1 已认领订单任务或 L2+ 在同 Guild；订单资金未捕获","listAdminOrderParticipants;addAdminOrderParticipant;updateAdminOrderParticipant","M10-US-03","分页搜索并逐项增删陪玩、为每人独立选择服务项目、数量和价格；展示游戏/服务/地区快照、姓名、分成规则、个人覆盖或项目默认来源、预计收益和服务端派生总价","余额不足、项目失效、陪玩失效、版本冲突或资金已捕获时整次拒绝并刷新；不提供总价输入","L1_SUPPORT（已认领）；L2_SUPERVISOR（Guild 范围）","ORD-04;FUND-06;EAR-02","AT-MULTI-001;AT-MULTI-002","计划开发"
"INT-D-061","1.5","Discord","多项目订单需求编排器","客户","已绑定账户；本人 DRAFT 即时订单","listOrderRequirements;addOrderRequirement;updateOrderRequirement;submitOrder","M10-US-07;M11-US-05","逐条选择项目、计费数量和所需人数；分页查看、修改或移除；确认页展示服务端报价，提交后展示“开始招募”按钮，不收集等待分钟数","空清单、失效目录、陈旧版本或余额不足时保持草稿并刷新；Bot 不计算价格、不指定陪玩、不提前生成参与者","客户本人","ORD-04;FUND-06;SEL-01","AT-MULTI-006;AT-MULTI-007;AT-SEL-001","计划开发"
"INT-D-061","1.1","Discord","订单面板/陪玩就绪","当前有效陪玩","订单 ACCEPTED，或服务开始后新增且本人未就绪","setOrderReadiness","M10-US-04","仅当前陪玩确认本人就绪；客户无就绪按钮；首次开始要求全部有效陪玩已就绪，服务中新增不倒退状态但未全员就绪不能结账","重复提交幂等；移除后立即重算；超时建客服任务；越权不泄露订单人员","订单有效陪玩","READY-02;ORD-04","AT-MULTI-003","计划开发"
"INT-D-062","1.1","Discord","订单礼物/多选接收陪玩","客户","订单处于礼物窗口且至少一名有效陪玩","createOrderGiftRequest","M10-US-05","分页展示订单内有效陪玩并支持跨页多选；确认页显示礼物单价、人数和单价乘人数总额","任一选择失效、余额不足或版本冲突时零写入并刷新；不允许输入 receiverId","订单所有者","GIFT-02;FUND-06","AT-MULTI-005","计划开发"
"INT-D-063","1.2","Discord","套餐订单编排器","客户","已绑定账户；本人 DRAFT 即时订单；至少一个启用套餐","listServicePackages;previewServicePackage;applyServicePackage;updateOrderRequirement;submitOrder","M10-US-08","选择套餐后预览默认逐席位阵容和服务端报价；应用后可单独修改任一席位项目、数量与备注，也可转自由搭配；确认页标识默认套餐或已自定义","套餐或目录失效、陈旧订单版本、展开失败时草稿零变更并刷新；Bot 不硬编码套餐、不计算折扣或改单价","订单所有者","ORD-04;FUND-06","AT-MULTI-008;AT-MULTI-009","计划开发"
"INT-A-064","1.2","Dashboard","套餐版本管理","L3-L4 员工","有效员工会话；至少一个启用服务目录版本","listAdminServicePackages;createAdminServicePackageVersion;updateAdminServicePackageVersionStatus","M10-US-08","查看草稿/启用/已退役版本；按顺序添加独立席位并选择服务项目、单位数和默认偏好；套餐总价按席位目录单价乘计费单位数实时只读显示且不得输入；创建草稿或立即发布；发布新版本原子退役旧启用版本","任一项目失效、版本冲突或审计失败时零写入；不原地编辑或删除历史版本；API 校验并固化套餐汇总价，Dashboard 不提交套餐价格、不计算订单价格或陪玩分成","L3_OPERATIONS;L4_OWNER","AUD-02;ORD-04","AT-MULTI-014","计划开发"
"INT-D-065","1.4","Discord","按游戏点菜式订单菜单","客户","已绑定账户；本人 DRAFT 即时订单；至少一个启用游戏服务","listServices;listServicePackages;previewServicePackage;applyServicePackage;addOrderRequirement;updateOrderRequirement","M10-US-09","四步流程固定为选择游戏、同游戏套餐或单点预览、按游戏分组编辑清单、最终确认；套餐逐席位仅可同游戏换项；返回游戏选择可新增另一游戏的独立单点需求","无可售项目、跨游戏改写既有席位、目录失效或陈旧版本时保持草稿并刷新；任一定制清零套餐调价且由 API 重算；Bot 不提前指定陪玩","订单所有者","ORD-04;FUND-06","AT-MULTI-011;AT-MULTI-013","计划开发"
"INT-A-066","1.3","Dashboard","单游戏套餐版本管理","L3-L4 员工","有效员工会话；至少一个启用服务目录版本","listAdminServicePackages;createAdminServicePackageVersion;updateAdminServicePackageVersionStatus","M10-US-09","按游戏筛选目录并创建套餐；页面展示 API 派生的套餐游戏归属，所有有序席位只能选择同游戏项目","混合游戏、项目失效、稳定套餐游戏不一致、并发或审计失败时原子零写入","L3_OPERATIONS;L4_OWNER","AUD-02;ORD-04","AT-MULTI-012","计划开发"
"INT-D-067","1.5","Discord","订单面板/开始、恢复与终止招募","客户","订单 PENDING_DISPATCH；可信 Actor 为订单所有者","getCurrentOrderSelectionPool;createOrderSelectionPool;closeOrderSelectionPool","M11-US-05","刷新时读取当前活动池：无活动池恢复“开始招募”按钮，COLLECTING 恢复当前报名者 Discord mention 名单和“终止招募”按钮；SELECTION 阶段允许客户显式携带旧池版本放弃本轮候选并重新开始招募；创建后只固化开始时间和版本并保留原 FundReservation","陈旧订单或池版本、已有未明确替换的活动池时零写入并刷新；时间流逝不得关闭招募；不创建第二笔预留；mention 可点击但 allowed_mentions.parse 为空","订单所有者","SEL-01;FUND-06","AT-SEL-001;AT-SEL-005;AT-SEL-007","计划开发"
"INT-D-068","1.5","Discord","派单频道/报名选秀与撤回","陪玩","候选池 COLLECTING；内部审批 ACTIVE、同 Guild 且需求标签匹配","applyToOrderSelectionPool;withdrawOrderSelectionApplication","M11-US-05","报名绑定仍空缺需求并私密确认；可跨多个订单报名；客户终止招募前可撤回；不创建正式参与人；终止后原报名卡更新为已结束并移除报名组件","不使用 ONLINE、AVAILABLE 或其他报名作为门禁；失效需求或已终止返回私密刷新提示；Discord 更新失败由 Outbox 重试","已审批陪玩","SEL-01","AT-SEL-002;AT-SEL-003;AT-SEL-007","计划开发"
"INT-D-069","1.5","Discord","订单面板/终止招募","客户","本人活动候选池为 COLLECTING","closeOrderSelectionPool","M11-US-05","客户端只提交池版本；API 由服务端记录 CUSTOMER_STOPPED 并幂等进入 SELECTION，触发语音权限同步和客服频道通知","陈旧池版本刷新；时间流逝和旧截止任务不得关闭；零报名仍进入结果面板但不自动续轮或取消","订单所有者","SEL-01;AUD-02","AT-SEL-001;AT-SEL-003;AT-SEL-007","计划开发"
"INT-D-070","1.5","Discord","选秀阶段/订单语音与客服通知","客户;报名陪玩;客服","候选池 SELECTION","closeOrderSelectionPool","M11-US-01","Worker 创建或恢复 user_limit=0 的订单选秀语音；客户与本轮有效报名者可见可进入；客服频道发送一次订单、客户、候选数和语音链接","Discord 失败由 Outbox 重试且不开始服务或计费；超过阈值创建唯一客服任务","客户;本轮报名陪玩;L1_SUPPORT-L4_ADMIN_OWNER","SEL-02;AUD-02","AT-SEL-003","计划开发"
"INT-D-071","1.5","Discord","订单面板/分页候选池","客户","候选池 SELECTION","listOrderSelectionApplications;createOrderSelectionPool","M11-US-05","按需求分页展示本轮有效候选公开资料并跨页维护选择篮子；从确认页返回时重新渲染未选择的候选组件；客户可显式放弃本轮候选并点击按钮重新开始招募；完整名单只对客户和有权限客服可见","越权不泄露报名身份；候选失效或池版本陈旧时刷新；不展示内部审核原因或排名；不得自动续轮","订单所有者","SEL-02;REQ-P0-PRIVACY-01","AT-SEL-004;AT-SEL-005;AT-SEL-006;AT-SEL-007","计划开发"
"INT-D-072","1.5","Discord","订单面板/确认本轮入选陪玩","客户","候选池 SELECTION 且至少选择一名有效报名者","finalizeOrderSelectionPool","M11-US-01","原子创建正式参与人和分成快照；部分席位保留已选并可为缺口开新池；全部填满才 ACCEPTED","任一选择失效、容量冲突或陪玩已被其他订单选中时整次零写入并刷新","订单所有者","SEL-02;ORD-04;EAR-02","AT-SEL-004;AT-SEL-005","计划开发"
"INT-D-073","1.5","Discord","陪玩工作台/接单状态退役","陪玩","已绑定且内部审批状态可读","—","M11-US-01","不再展示或设置 ONLINE/AVAILABLE 接单状态；工作台展示可报名候选池、本人报名及正式订单","Discord presence 仅可作为非授权观测，不影响通知、报名、候选展示或最终选择","陪玩","SEL-01","AT-SEL-002","计划开发"
"INT-D-074","1.5","Discord","派单频道/数字 Reaction 报名卡","陪玩","候选池 COLLECTING；单卡含一至九个需求；内部审批 ACTIVE、同 Guild 且需求标签匹配","observeOrderSelectionReaction","M11-US-06","Worker 按稳定需求顺序在同一张公开卡展示 1️⃣–9️⃣ 并由 Bot 添加对应 Reaction；陪玩添加数字 Reaction 报名映射项目，移除该 Reaction 仅撤回该项目；可同时报名多个项目或订单","API 仅按已持久化 messageId 与 emoji 解析映射；未知消息、非数字 Reaction、失效需求或已结束池不写业务事实；失败时移除无法确认的新增 Reaction 并私密提示","已审批陪玩","SEL-01;AUD-02","AT-SEL-008","计划开发"
"INT-D-075","1.5","Discord","Bot 启动/活动 Reaction 卡对账","Bot 服务身份","同 Guild 存在已持久化活动报名卡；Bot 可读取消息 Reaction 用户","listActiveOrderSelectionReactionCards;observeOrderSelectionReaction","M11-US-06","Bot 重启后读取服务端活动卡与当前有效报名者，拉取 Discord Reaction 用户并逐项补交缺失的 ADDED 或 REMOVED 观测；重复观测保持幂等","消息缺失或 Discord/API 暂时失败时不猜测映射、不直接改库，由重试恢复并记录可追踪错误；数据库仍是授权后的业务事实来源","受限 Bot 服务身份","SEL-02;OPS-01","AT-SEL-008","计划开发"
"INT-D-076","1.5","Discord","派单频道/招募与流单状态图","陪玩","订单首次开始招募或订单客户已真正取消整单","createOrderSelectionPool;cancelOrder","M11-US-06","新订单先发送黑猫主题“正在派单”图片，再发送原报名 Embed；订单进入 CANCELLED 后追加同主题“本单流单”图片；两种图片均按订单幂等","终止招募只进入 SELECTION，不发送流单图；重试、重启、后续轮次不重复图片；图片失败由 Outbox 重试且不改变业务状态或 Embed","派单频道可见用户","SEL-01;OPS-01","AT-SEL-009","计划开发"
"INT-A-067","1.5","Dashboard","六类业务卡片详情","L1-L4 员工","具备对应 read 权限且对象在可信 scope 内","getAdminUser;getAdminPlayer;getAdminServiceCatalogVersion;getAdminServicePackageVersion;getAdminGiftCatalogItem;getAdminGiftRequest","M4-US-03 详情补齐","每个卡片单独读取足量详情投影；用户和陪玩返回身份、状态、可读标签及时间；服务和礼物目录返回完整不可变版本与审计元数据；套餐返回价格与有序席位；礼物请求返回订单、双方身份、预留、审核、捕获与播报时间线","403/404 不泄露对象；不得用列表快照或客户端默认值伪造缺失事实；presence 只作诊断展示且不影响报名资格；礼物详情不泄露预留幂等键或钱包账本内部字段","对应既有 read 权限与 L1 个人任务 scope","OPS-02;TAG-01;ORD-04;FUND-06","AT-DTL-001","开发中"
"INT-A-068","1.6","Dashboard","客服工作台/上班与下班","L1/L2 客服","ACTIVE staff_account；下班时无本人 CLAIMED 任务","getMySupportShift;clockInSupportShift;clockOutSupportShift","M12-US-02","记录当前班次；重复点击幂等；打卡不改变查看、认领或 Discord 首响权限","有本人未结任务时提示先处理；L3/L4 不显示打卡动作","L1_SUPPORT;L2_SUPERVISOR","SUP-10","AT-SUP-010","计划开发"
"INT-A-069","1.6","Dashboard","客服工作台/最近30天简单列表","员工","具备 dashboard.view 且 Actor Guild 有效","getSupportSummary","M12-US-02","按客服显示当前班次、累计时长、订单级任务数、5分钟超时数、评分数与平均分，并单列未认领超时","空数据展示零或 null；不导出、不返回 transcript 正文、客户敏感信息或参与人私密事实","L1本人;L2+同Guild scope","SUP-10","AT-SUP-013","计划开发"
"INT-D-070","1.6","Discord + Dashboard","订单频道首响/自动认领","L1-L4 ACTIVE 员工","订单存在等待首响的订单级 StaffTask；消息为非 Bot 且有正文或附件","appendOrderChannelMessageEvent;claimStaffTask","M12-US-03","真实首响结束计时；订单无负责人时自动认领最早 OPEN 任务，Dashboard 刷新后进入该员工的已认领列表","已有 CLAIMED/PENDING_APPROVAL 负责人时不覆盖；并发首响按订单串行；非 ACTIVE 员工、Bot、空消息和编辑不触发","L1_SUPPORT-L4_ADMIN_OWNER","SUP-10;AUD-02","AT-SUP-011","计划开发"
"INT-D-071","1.6","Discord","订单完成/客服体验评分","客户","订单 COMPLETED；24小时内；订单存在真实客服首响；尚未评价","createOrderSupportRating","M12-US-04","现行多陪玩资金完成后独立展示1-5分；一单一次；1-2分选择受控原因，OTHER 补充文字","评分失败不回滚完单、资金捕获或逐人收益；过期或重复提交返回可理解提示","订单所有者","SUP-10;FUND-06","AT-SUP-012","计划开发"
"INT-A-070","1.7","Dashboard","七类业务集合/排序","L1-L4 员工","具备对应 read 权限且 Actor Guild/scope 有效","listAdminOrders;listAdminUsers;listAdminPlayers;listServiceCatalogVersions;listAdminServicePackages;listAdminGiftCatalogItems;listAdminGiftRequests","M13-US-01","按资源白名单选择 sortBy 和 sortDirection；API 在筛选与 scope 内执行稳定全局排序并返回绑定查询的游标；改变排序从第一页重新加载","未知排序或与当前资源、筛选、Guild、scope 不匹配的游标返回 400 并安全回第一页；禁止仅重排浏览器当前页","对应既有 read 权限","LST-01;ACCESS-02","AT-LST-001;AT-LST-002;AT-LST-003;AT-LST-005;AT-LST-008","合同已冻结，运行时待开发"
"INT-A-071","1.7","Dashboard","七类业务集合/卡片/表格切换","L1-L4 员工","集合 items 已按当前筛选和排序加载","—","M13-US-01","CARD 与 TABLE 复用同一 items、详情 API 和 item actions；切换不重新请求列表 API；TABLE 在窄屏降级为行式列表；URL 恢复视图、排序和筛选","非法 URL 值回退页面默认值；两种视图不得改变字段脱敏、对象 scope、详情或操作能力","对应既有 read/action 权限","LST-01;ACCESS-02","AT-LST-004;AT-LST-006;AT-LST-007;AT-LST-008","合同已冻结，运行时待开发"
"INT-A-072","1.8","Dashboard","客服工作台/首屏分诊队列","L1-L4 员工","具备 staff_task.read 且 Actor Guild/scope 有效","listStaffTasks;getStaffTask;claimStaffTask","M14-US-01","首屏按服务端优先级展示任务、最小分诊摘要、时间压力、负责人和下一动作；认领前可只读预览","缺失上下文显示明确空态；无 capability 不显示动作；Dashboard 不计算优先级或扩大订单权限","L1_SUPPORT","SUP-UX-01;ACCESS-02","AT-SUX-001;AT-SUX-002;AT-SUX-004","合同已冻结，运行时待开发"
"INT-A-073","1.8","Dashboard","运营概览/指标进入任务或订单筛选","L1-L4 员工","指标及目标列表均在同一可信 Actor scope","getDashboardSummary;listStaffTasks;listAdminOrders","M14-US-01","待处理、超时和进行中指标进入对应受权筛选结果并保留来源说明","目标为空显示空态；非法 URL 安全回退；不得客户端重算指标或扩大 Guild/scope","对应既有 read 权限","SUP-UX-01;ACCESS-02","AT-SUX-005","合同已冻结，运行时待开发"
